1717766218918896	24
1717766218950966	26
1717766218978082	28
1717766219069457	29
1717766219098719	30
1717766219270208	28
1717766219831182	27
1717766219864201	27
1717766219893164	27
1717766220132399	27
1717766220160939	27
1717766220197491	27
1717766220232690	25
1717766220267308	26
1717766220324934	25
1717766220750337	-503
1717766220869288	-629
1717766221007475	26
1717766221038966	26
1717766221069461	26
1717766221096719	27
1717766221152957	27
1717766221184203	28
1717766221210976	27
1717766221324744	29
1717766221355967	29
1717766221384970	30
1717766221418698	29
1717766221448385	30
1717766221481423	30
1717766221508054	29
1717766221539618	29
1717766221566048	29
1717766221640885	29
1717766221788933	30
1717766221818987	29
1717766221853650	29
1717766221886235	30
1717766221921194	30
1717766222115203	29
1717766222148060	31
1717766222214653	31
1717766222244238	31
1717766222274500	31
1717766222339039	37
1717766222369440	41
1717766222854468	118
1717766223931850	95
1717766224223913	-18
1717766224254289	-17
1717766224285695	-16
1717766224381021	-13
1717766224408836	-13
1717766224439619	-12
1717766224466900	-12
1717766224497395	-13
1717766224554828	-13
1717766224642308	88
1717766224703282	90
1717766224789813	92
1717766224819016	-12
1717766225157308	92
1717766225184971	94
1717766225214368	93
1717766225249428	93
1717766225277446	95
1717766225303902	94
1717766225341489	95
1717766225367693	94
1717766225398025	94
1717766225424042	94
1717766225455210	95
1717766225481552	95
1717766225512600	96
1717766225539694	95
1717766225572224	95
1717766225602611	95
1717766225634123	95
1717766225666038	95
1717766225696362	95
1717766225721770	96
1717766225747507	96
1717766225777564	96
1717766225803595	96
1717766225836415	96
1717766225863966	95
1717766225895136	96
1717766225922593	95
1717766225953140	96
1717766225981625	95
1717766226014335	97
1717766226043325	96
1717766226071809	96
1717766226102543	97
1717766226137449	96
1717766226166935	96
1717766226195997	98
1717766226230779	98
1717766226261416	98
1717766226294649	98
1717766226323151	98
1717766226352338	98
1717766226383884	97
1717766226412616	97
1717766226443559	98
1717766226473629	96
1717766226505234	97
1717766226540600	98
1717766226571716	98
1717766226603731	98
1717766226632276	98
1717766226663918	98
1717766226694508	98
1717766226727753	97
1717766226757506	99
1717766226789802	99
1717766226822964	99
1717766226851224	98
1717766226882043	98
1717766226908861	98
1717766226939832	99
1717766226969418	99
1717766227006451	99
1717766227033111	99
1717766227063316	99
1717766227092041	99
1717766227122920	100
1717766227149102	99
1717766227179705	100
1717766227208830	100
1717766227239134	-12
1717766227267194	100
1717766227295428	100
1717766227326524	100
1717766227354384	100
1717766227386397	100
1717766227420844	100
1717766227450975	100
1717766227480772	100
1717766227510515	99
1717766227539346	100
1717766227568877	100
1717766227595923	100
1717766227627734	100
1717766227657514	101
1717766227688838	100
1717766227716421	101
1717766227747799	100
1717766227780560	100
1717766227812006	99
1717766227839092	100
1717766227867354	101
1717766227904647	101
1717766227938211	100
1717766227969097	100
1717766227997817	100
1717766228027925	100
1717766228066836	-11
1717766228095010	-11
1717766228153534	-11
1717766228179783	-12
1717766228216517	-12
1717766228247449	-12
1717766228278902	99
1717766228306894	-12
1717766228338066	-69
1717766664949165	-148
1717766665047105	-160
1717766665075662	-162
1717766665208828	-160
1717766665234242	-158
1717766665258789	-156
1717766665370698	-148
1717766666730041	-121
1717766666756401	-120
1717766666784528	-120
1717766666806652	-120
1717766666833899	-118
1717766666858945	-118
1717766666909131	-119
1717766666957296	-118
1717766666994529	-118
1717766667058826	-117
1717766667083755	-117
1717766667106992	-117
